accession_id,replicate_id,Trichome perimeter,Metals in stomata,Metal ring in trichomes,Trichome length,Leaf epidermis autofluorescence,Trichome autofluorescence,Trichome stem length,Metal surrounding trichomes,Number of trichome branches,Metal gradient in trichomes,Shaveproof trichomes,Autofluorescence color,Trichome circularity,Trichome area,Metal in trichome base,Callose content in trichomes,Trichome solidity,Trichome density
6163,82388,2195.416,0.0,0.0,2089.873,0.0,2.0,0.3,2.0,2.0,0.0,1.0,0.0,0.07232,26715.62,1.0,86.811,0.24256,2.0
6169,82389,1941.619,0.0,2.0,2926.818,2.0,2.0,0.2,0.0,2.5,1.0,0.0,0.0,0.09232,26899.2,2.0,18.392,0.34876,3.0
6172,82390,1690.895,0.0,0.0,2114.522,2.0,3.0,0.18,0.0,2.5,0.0,0.0,0.0,0.08456,18256.01,2.0,25.95,0.2958,4.0
6177,82391,1964.442,0.0,0.0,3358.735,0.0,1.0,0.29,0.0,2.5,0.0,0.0,0.0,0.0744,22482.12,1.0,0.175,0.28724,4.0
6180,82392,2122.04,0.0,1.0,2640.593,4.0,2.0,0.17,0.0,2.0,0.0,0.0,0.0,0.06828,24222.36,1.0,9.826,0.24868,1.0
6184,82393,1762.211,0.0,0.0,2325.174,0.0,2.0,0.21,0.0,3.0,0.0,0.0,0.0,0.06468,15588.43,2.0,18.255,0.25072,3.0
6188,82394,1345.638,0.0,0.0,1235.637,0.0,0.5,0.18,2.0,3.0,0.0,0.0,0.0,0.0926,11985.87,1.0,84.722,0.28484,1.0
6189,82395,2341.573,0.0,1.0,3203.46,2.0,2.0,0.2,0.0,3.0,1.0,0.0,0.0,0.0646,28227.21,1.0,1.859,0.25688,2.5
6191,82396,2098.363,0.0,1.0,3388.127,0.0,1.0,0.24,0.0,2.5,0.0,0.0,0.0,0.06736,22428.25,2.0,8.824,0.25564,2.0
6194,82397,1992.872,0.0,0.0,2728.777,2.0,2.0,0.26,1.0,3.0,0.0,0.0,0.0,0.07592,23771.41,0.0,1.263,0.2834,3.0
6195,82398,1215.846,0.0,0.0,1292.766,0.0,1.0,0.24,0.0,3.0,0.0,1.0,0.0,0.10388,10653.93,2.0,151.593,0.33244,2.0
6201,82399,2331.159,0.0,2.0,3372.614,0.0,1.0,0.3,0.0,3.0,0.0,0.0,0.0,0.06012,25606.56,2.0,2.427,0.22092,2.0
6202,82400,1337.913,0.0,0.0,1749.982,0.0,0.5,0.25,0.0,2.5,0.0,1.0,0.0,0.10368,13072.16,0.0,20.791,0.32828,2.0
6203,82401,1459.837,0.0,2.0,1644.594,0.0,1.0,0.25,0.0,2.5,1.0,1.0,0.0,0.087,13299.89,0.0,37.963,0.37144,3.0
6209,82402,2203.439,0.0,0.0,2818.497,0.0,2.0,0.31,0.0,3.0,0.0,0.0,0.0,0.07016,26775.62,0.0,2.303,0.25412,3.0
6210,82403,2015.652,0.0,1.0,2434.017,0.0,1.0,0.3,0.0,2.5,1.0,1.0,0.0,0.07632,23821.46,0.0,18.778,0.272,3.0
6214,82404,1760.765,0.0,2.0,3137.936,2.0,2.0,0.29,0.0,2.5,0.0,0.0,0.0,0.08144,20333.92,1.0,1.512,0.32328,3.0
6216,82405,1786.783,0.0,1.0,1903.561,2.0,2.0,0.27,0.0,3.0,0.0,1.0,0.0,0.0836,19966.32,2.0,17.752,0.26996,3.0
6217,82406,1587.275,0.0,2.0,1563.043,2.0,3.0,0.29,0.0,2.0,0.0,1.0,0.0,0.06912,13324.75,2.0,173.784,0.28028,3.0
6218,82407,1646.339,0.0,0.0,2527.355,2.0,1.0,0.24,0.0,2.5,0.0,0.0,0.0,0.08036,16735.41,0.0,10.297,0.28524,3.0
6220,82408,1866.252,0.0,0.0,2150.361,4.0,2.0,0.26,0.0,3.0,0.0,1.0,0.0,0.06452,16893.44,0.0,34.419,0.28312,3.0
6221,82409,2227.048,0.0,0.0,2108.003,4.0,1.0,0.21,0.0,2.0,0.0,1.0,0.0,0.069,26280.16,1.0,29.721,0.23992,3.0
6231,82410,2402.967,0.0,0.0,3848.878,0.0,0.5,0.27,0.0,3.0,0.0,0.0,0.0,0.064,28772.72,0.0,5.422,0.2824,3.0
6235,82411,1160.657,1.0,2.0,1084.329,0.0,1.0,0.2,0.0,3.0,1.0,0.0,0.0,0.08592,8485.5,1.0,146.614,0.32436,2.5
6237,82412,1804.409,2.0,1.0,2294.86,2.0,3.0,0.22,0.0,2.5,0.0,0.0,0.0,0.0702,17685.88,0.0,28.077,0.24524,4.0
6240,82413,1497.644,2.0,1.0,1727.354,0.0,1.0,0.24,0.0,2.5,0.0,0.0,0.0,0.07276,11834.2,1.0,60.159,0.26448,3.0
6241,82414,1746.433,2.0,2.0,2300.836,0.0,2.0,0.23,0.0,3.0,1.0,0.0,0.0,0.07148,16446.07,2.0,25.165,0.25736,3.0
6242,82415,1968.712,0.0,1.0,3114.715,0.0,1.0,0.25,0.0,3.0,0.0,0.0,0.0,0.06944,21475.13,2.0,1.458,0.28076,3.0
6243,82416,1828.351,0.0,2.0,2569.465,0.0,1.0,0.21,0.0,3.0,0.0,0.0,0.0,0.07504,19676.51,0.0,0.229,0.2526,1.5
6244,82417,2384.494,0.0,0.0,2657.566,0.0,1.0,0.25,0.0,2.0,0.0,1.0,0.0,0.0718,28466.15,0.0,65.127,0.24228,2.5
6255,82418,2217.915,0.0,0.0,3870.992,0.0,2.0,0.26,0.0,2.0,0.0,0.0,0.0,0.0674,26795.5,0.0,4.151,0.302,3.0
6258,82419,2881.022,0.0,0.0,5225.111,0.0,2.0,0.36,0.0,2.5,0.0,0.0,0.0,0.05692,37510.23,2.0,2.81,0.30844,3.0
6268,82420,1834.51,0.0,1.0,2823.885,2.0,3.0,0.24,0.0,2.5,0.0,0.0,0.0,0.07667,20620.92,1.0,16.077,0.3012,3.0
6276,82421,1317.365,0.0,0.0,1682.823,2.0,3.0,0.24,0.0,2.5,0.0,0.0,0.0,0.10523,14996.88,0.0,37.315,0.36062,3.0
6284,82422,2592.649,0.0,0.0,4501.693,0.0,3.0,0.28,0.0,3.0,0.0,0.0,0.0,0.0609,32597.68,0.0,2.909,0.258,2.5
