accession_id,replicate_id,root length day004,root length day005,root length day006,root length day007,root length day001,root length day002,root length day003,root length day007 minusZn,root length day006 minusZn,root length day004 minusZn,root length day002 minusZn,root length day001 minusZn,root length day003 minusZn,root length day005 minusZn
7166,25800,520.631,724.375375,945.2725714,1094.235667,81.807875,223.345125,391.0247,1024.3428888889,864.92625,471.8295714286,193.1794444444,77.42025,332.51425,666.8325
7172,25801,544.960875,779.8245714,991.261625,1278.38225,119.9373333,266.1784286,352.74,1043.2617272727,861.09675,479.7580833333,227.1430909091,97.9172,330.74525,656.71525
7176,25802,519.6653333,666.551375,801.692,923.7391429,132.7801111,285.12425,399.961,1029.251,909.3355,566.7915,283.1614444444,149.780875,434.235625,761.5441666667
7178,25803,482.362,670.5658333,880.0374286,971.7328571,95.31009091,199.6536667,345.2966667,714.9516666667,574.8054285714,347.5086666667,186.0292857143,91.4677142857,250.688,465.0546
7181,25804,566.959,684.18725,897.1216667,1073.714833,94.016,196.3755,361.9795455,696.9387777778,593.101625,374.7314285714,139.1489,62.3846666667,241.63675,491.9212857143
7192,25805,610.4212857,795.1864444,1032.892667,1185.633444,102.028375,266.081,423.9411111,534.565375,510.888,324.8897142857,154.4926363636,82.95175,237.1541111111,489.5888571429
7199,25806,571.0737143,719.55075,914.7911429,1085.022333,123.9395455,269.1678889,401.3781111,622.7596666667,530.346,326.8244,188.1228888889,96.66,252.943,430.7116666667
7201,25807,512.6233636,693.9376667,875.3317778,1040.6193,89.43285714,220.5161111,379.6360833,1024.243,864.7619090909,509.7123636364,238.158,100.487,381.8648,698.2596363636
7205,25808,489.0838889,631.7266667,783.1042222,885.8037,115.6458889,280.542875,378.897,909.2606666667,810.8431666667,551.288,233.0462857143,130.211875,384.5506666667,640.268
7210,25809,680.2067,1018.395667,1073.798889,1264.9195,136.7249091,308.6095833,503.9667778,1132.0945555556,924.94525,570.737,295.03425,126.1244285714,423.0384285714,781.645
7224,25810,618.1471818,804.6888182,983.1758333,1154.367583,131.8297143,278.9595455,453.9240833,848.6598888889,744.1102222222,478.276,219.8285,103.0314,347.7984285714,603.0551111111
7231,25811,520.9792222,654.7356667,793.8456,963.3788889,149.5924,274.7384545,398.731,814.1575,681.0353333333,425.0242,229.8754,117.3843333333,320.7028,557.0198888889
7242,25812,527.9937778,753.6673,860.5418,923.1591667,140.7872727,310.6488333,467.9002727,948.7156666667,790.38,545.7382,282.9222,135.8293333333,390.2148,674.4527272727
7244,25813,604.6186667,674.6188889,850.2339,1038.096286,122.2267,309.104625,454.0114444,1022.578625,802.9516666667,487.1067,237.1818,,376.9004444444,668.213375
7246,25814,503.6265556,678.4627,837.563375,995.40975,103.1897,265.0788571,390.939875,693.0064444444,572.8905555556,400.3906,158.397,85.095,277.564,464.7127777778
7255,25815,529.9372857,757.9168,848.2221667,1090.4315,108.680125,241.42,379.2852222,907.876,753.363,462.1037142857,203.7225714286,106.6668,330.2674285714,609.1935714286
7262,25816,540.4446364,699.674,884.9266364,1055.665333,116.907,281.7232,391.6788182,798.06125,690.398875,421.0097777778,218.9571818182,,322.2145454545,570.089
7268,25817,679.9356667,804.5924444,909.124,1061.6089,150.7898333,341.577,528.602625,792.5032,669.8972,424.661,199.1763,,312.515,534.072375
7275,25818,652.0046,818.4724,983.4202,1204.978125,146.8991818,336.1002,495.0443636,1032.1415,864.9511666667,561.5125,280.3554444444,,411.1995,703.791
7276,25819,505.70375,631.5535,799.2745,898.52275,137.944,263.8244,407.5707273,681.9865454545,555.849,351.5909090909,186.7975714286,,241.625,461.8145454545
7280,25820,623.2843333,793.1284545,1023.780444,1196.273875,110.7571111,269.2783636,440.4391111,579.73075,616.1711666667,415.5235,196.5468181818,,315.7267272727,524.36475
7282,25821,726.383,970.985625,1144.857556,1259.304875,220.5035,429.6175,574.5846667,995.5114285714,908.9495555556,581.617,290.8551,,424.2050909091,727.3898571429
7283,25822,520.23,653.4148,823.4922222,908.0993333,118.4121429,263.1711111,389.0140909,686.579,556.9984545455,365.1393333333,175.5764,91.873,257.9145,464.4575
7287,25823,694.55775,873.424,978.0462,1072.8996,158.219375,358.9086,562.7235,848.69325,704.1611111111,435.7858,228.6198181818,,308.6675833333,525.143375
7291,25824,416.6246667,583.7598571,749.6934286,845.08375,79.82722222,183.9071,318.425,581.321375,455.6736,273.251,137.3571428571,,201.7006,349.7335555556
7297,25825,552.2747143,669.7602857,824.6396667,861.93225,149.614,297.9564,401.23625,754.3845833333,667.1991818182,436.8681,233.7085,,333.1474444444,536.0107
7299,25826,514.6205,604.0314545,740.3987,807.0012,188.2348182,331.54025,415.9634167,822.726,736.3802727273,504.2749090909,290.7219,,394.4895,609.7595454545
7300,25827,598.72275,762.570875,914.297375,1061.568222,139.4156364,282.5606,435.1577778,1144.665375,884.8383333333,554.9376,273.6314444444,,413.6972,744.0792222222
7306,25828,375.31975,537.4167143,491.32475,821.4678,93.7352,197.4038333,298.4742857,860.4504444444,700.32825,408.1103,194.8214545455,,291.6083333333,531.5663636364
7307,25829,379.924,501.1571429,600.2135714,799.4528333,85.12377778,182.44,321.0457778,701.6782222222,620.975,380.4760909091,177.33,,274.548,492.6360909091
7309,25830,545.0613,616.9880909,803.6492727,913.8369,81.92757143,210.4298889,363.5531,957.0793333333,746.9051111111,469.849625,156.1896666667,,307.875875,580.6517777778
7310,25831,450.232,622.887875,860.77825,892.0568333,95.6582,196.4535,348.6857143,818.9391818182,636.2793636364,406.3244,213.9211111111,,296.2828888889,493.7173636364
7316,25832,516.328,668.2633333,868.1692,903.3485,107.48725,241.7475,409.93025,610.263125,514.2442857143,318.198625,141.5133333333,59.88475,254.4616666667,430.5875714286
7317,25833,428.2350909,551.7358,810.974,833.1448182,96.80044444,187.4426364,305.3219091,527.8738,397.609875,260.9685555556,112.5456666667,66.935,200.71425,384.708125
7320,25834,375.8356364,480.102,599.442,723.0229,72.086625,166.1482727,282.1152,523.5290909091,333.966,273.5500833333,119.3626666667,87.774,192.5315454545,362.0191666667
7330,25835,543.8875556,736.2318889,944.0995556,1168.725,110.3513,246.4893,394.31775,776.1702,635.7675,374.2729166667,192.9105,111.96575,260.616375,512.0413
7331,25836,530.7705556,768.6593,982.8457273,1287.335875,127.0512,250.8196,380.0174,1084.1642,890.8677272727,485.8727272727,224.835,133.0043333333,311.8815555556,671.3841818182
7337,25837,548.1746667,716.1197778,875.35025,1060.603111,125.3164545,281.642625,405.4163,684.1027777778,539.1783,334.5082222222,185.3674,95.71475,262.1379090909,446.6308888889
7351,25838,642.0207778,899.602625,1152.9345,1373.425,90.77863636,238.9914,464.9220909,886.7136,731.26,483.676625,252.5115555556,111.1684,381.0061428571,613.9389
7352,25839,486.4518182,658.5281818,830.6754,994.7643333,82.84966667,200.3698,343.2531667,781.9608888889,626.1333333333,383.568375,145.9148,62.2762,254.3938888889,481.8308333333
7353,25840,652.7896667,823.46725,998.161625,1209.359556,111.7615833,278.7775714,436.7788571,918.693875,776.301875,438.066125,193.1055,79.27375,308.7204,528.0547142857
7355,25841,461.3974545,596.1336667,733.12325,870.15775,134.81175,251.0502222,370.2583,626.3172,483.3224545455,333.64975,166.7537777778,110.0868,262.01125,412.7895555556
