accession_id,replicate_id,Rosette diameter Mine,Leaf  S Mine (μg/g),Leaf Ca Mine (μg/g),Leaf Zn Mine (μg/g),Leaf K Mine (μg/g),Leaf B Mine (μg/g),Leaf Cu Mine (μg/g),Leaf Na Mine (μg/g),Leaf Fe Mine (μg/g),Leaf Mg Mine (μg/g),Leaf Mn Mine (μg/g),Estimated Soil Pb,Leaf Pb Mine (μg/g),Growth rate,Leaf P Mine (μg/g)
7035,71801,58.0,1976.6,30820.75,114.69,22282.23,,8.35,4540.13,181.65,4562.18,57.88,1.307876439,1.992,0.85,3085.12
7064,71802,60.0,1477.97,16199.43,58.3,15132.35,,6.09,4418.69,258.42,2093.58,40.59,1.001780846,18.511,0.71,2842.44
7069,71803,54.0,6036.05,33300.43,241.6,36663.06,,12.13,7152.83,304.17,5780.08,114.57,,53.115,0.87,6234.63
7075,71804,50.0,3652.41,45601.58,132.37,26835.78,,,4688.52,437.79,5578.33,59.98,0.702370539,17.418,0.53,2404.16
7094,71805,60.0,685.19,17421.34,78.06,14492.66,,5.85,3595.47,194.48,2291.96,49.26,0.043965768,21.908,0.75,2306.09
7098,71806,57.0,868.41,18971.31,98.67,16848.03,,6.04,3313.03,360.57,2764.89,51.3,-0.009206612,24.843,0.7,1535.54
7100,71807,61.0,844.66,23045.96,117.88,9847.1,,9.82,3837.72,160.74,2938.4,44.99,0.828483723,10.976,0.78,3883.86
7102,71808,38.0,3608.32,20796.0,190.65,20354.17,,12.45,1440.07,1632.97,2696.06,97.49,1.384309125,25.688,0.9,5281.77
7105,71809,55.0,949.27,20739.47,112.57,18239.23,,10.69,3473.07,423.82,2525.21,53.31,-0.459732991,17.249,0.71,1788.3
7126,71810,57.0,2645.16,15260.32,95.06,27373.42,,,768.65,108.74,2210.33,46.72,0.484364623,2.972,0.79,3873.58
7128,71811,51.0,1981.88,35536.58,149.08,19903.2,,9.02,2822.09,155.46,3750.27,82.55,0.383713269,2.259,0.84,3297.25
7135,71812,43.0,1568.19,17912.61,109.65,15178.32,28.16,4.54,1562.55,92.8,2148.18,51.41,0.587808969,5.71,0.52,3312.74
7139,71813,43.0,1346.11,26054.13,150.86,22149.2,56.61,8.16,1968.89,347.4,3000.69,78.89,1.348635968,14.374,0.64,3810.59
7141,71814,61.0,1406.36,18933.82,125.2,19270.82,34.38,8.75,3328.68,183.05,2578.95,75.0,1.595009092,22.025,0.85,2770.93
7143,71815,,12419.79,29018.69,444.14,50549.83,84.44,54.3,1563.59,650.39,6130.5,93.22,,,,5505.61
7145,71816,53.0,1188.11,12090.09,75.0,17553.2,39.01,6.87,1162.81,78.37,1530.68,32.52,0.939835535,4.861,0.68,2984.22
7147,71817,59.0,3324.0,31250.59,144.78,23848.78,,11.93,4024.52,282.39,4136.31,73.0,0.141316143,13.11,0.77,4432.88
7150,71818,66.0,792.23,18056.71,81.92,13105.54,17.77,5.62,2902.14,87.05,2065.56,31.67,1.595009092,2.732,0.77,2042.82
7158,71819,35.0,1789.03,25320.85,149.61,25075.74,,13.25,2309.37,271.33,3282.03,64.31,0.280133788,3.315,0.7,4969.75
7163,71820,52.0,2440.76,39786.56,241.79,33914.32,37.75,13.01,4087.89,235.97,6062.59,92.44,0.436001612,9.666,0.65,4605.25
7164,71821,46.0,2272.38,23811.6,127.57,25871.9,,,4218.13,106.18,3157.77,41.04,-0.019866441,10.405,0.64,3097.15
7165,71822,52.0,1700.65,23300.9,97.39,20048.73,,10.24,3372.35,107.51,2938.35,45.24,1.878951678,4.934,0.87,3159.73
7166,71823,42.0,1941.22,25144.44,99.58,22059.86,,10.86,2975.56,208.44,3395.88,58.53,0.209434417,12.724,0.57,2640.6
7169,71824,59.0,693.66,18024.52,87.36,19741.64,16.69,5.75,2671.28,65.34,2149.89,35.39,-0.240013183,4.292,0.71,3352.38
7178,71825,42.0,2688.74,42999.65,238.49,26538.5,,33.57,7591.33,219.58,4712.03,,0.162163384,5.082,0.57,5455.6
7188,71826,45.0,,,,,,,,,,,,,0.83,
7199,71827,43.0,648.67,19199.74,75.88,15453.45,32.51,10.77,1010.51,83.3,1487.12,40.85,1.268076753,3.363,0.69,4078.53
7201,71828,54.0,821.26,24432.27,101.75,21133.45,,7.22,1241.34,63.11,2829.84,57.69,1.139449261,3.783,0.71,3962.62
7205,71829,33.0,1908.29,25466.82,120.26,31068.77,,14.15,3610.93,435.94,3466.48,59.53,1.049753795,20.696,0.62,3149.45
7206,71830,66.0,2319.42,39864.82,239.72,30053.38,,16.59,14195.77,332.49,7613.48,90.99,0.335028352,124.07,1.03,3803.68
7229,71831,32.0,1718.83,22869.98,99.63,17339.03,,13.37,3464.03,220.17,3335.32,59.51,0.927676435,8.416,0.57,6704.2
7270,71832,26.0,2102.76,24159.18,112.6,21630.59,,12.78,2107.3,311.61,3306.48,39.52,0.419440566,8.293,0.41,1645.49
7277,71833,30.0,2791.59,30959.23,118.54,23868.84,83.53,21.23,2956.64,464.6,4327.0,72.33,1.150731008,17.521,0.67,7180.47
7280,71834,31.0,1658.81,15976.88,48.89,17163.64,,12.23,1624.31,133.57,2076.68,0.0,0.027363488,2.91,0.63,3075.81
7283,71835,43.0,1822.17,20500.73,165.0,17800.95,35.75,10.17,1756.73,183.99,2574.34,37.05,0.393218342,1.832,0.61,3408.49
7296,71836,39.0,6377.36,42399.79,184.84,35009.18,122.49,,8170.84,282.47,6106.27,94.01,,13.822,0.53,4816.65
7300,71837,61.0,1877.14,24697.52,69.5,20037.59,40.43,10.77,1641.53,151.37,3314.13,40.51,1.082534936,1.658,0.81,4483.42
7307,71838,37.0,1558.95,21691.89,79.05,14738.26,22.99,7.04,4343.27,284.5,3170.37,51.44,0.202794977,12.27,0.52,2431.54
7316,71839,24.0,2971.76,24796.69,165.29,22853.49,30.18,,3487.78,190.85,3257.48,88.64,0.708957742,10.404,0.38,4305.47
7330,71840,,14932.35,44802.98,859.56,89960.22,51.57,117.25,6404.33,920.71,9203.09,165.61,,,,6700.91
7331,71841,41.0,2203.6,29538.83,120.28,23564.15,,8.59,6080.62,142.11,3970.17,67.48,1.288820225,4.774,0.6,3529.99
7333,71842,70.0,1671.95,24756.75,120.56,19717.82,,7.37,2542.13,74.6,3012.4,58.83,0.092421375,1.914,0.75,3773.13
7337,71843,75.0,952.64,19957.38,72.95,13551.77,21.09,5.0,1146.44,45.06,2242.76,49.43,2.056760986,0.952,1.07,2702.98
7340,71844,52.0,,,,,,,,,,,,,0.85,
7344,71845,22.0,15931.55,37055.51,692.21,88598.81,,89.24,7392.52,198.54,9459.56,136.39,0.3557165,22.852,0.44,6130.51
7346,71846,26.0,1320.67,38383.24,168.43,14514.28,42.63,13.01,11424.22,143.73,6402.85,78.06,0.556781453,10.466,0.35,3207.44
7353,71847,22.0,3700.0,45594.98,132.18,30887.39,,27.76,5215.52,277.65,6382.2,83.6,0.085094262,3.58,0.69,4794.22
7355,71848,46.0,2776.24,32694.56,0.0,30354.75,,31.39,4724.73,212.95,3931.93,,1.851344387,1.46,0.92,6114.66
7372,71849,47.0,4983.52,29310.82,217.77,42586.21,54.63,16.41,2553.39,176.2,4216.55,81.36,1.142022268,2.13,0.89,6656.21
7373,71850,,2539.4,23283.17,113.47,27014.07,69.82,10.94,6219.62,105.81,3149.18,37.66,,0.714,,2646.47
7378,71851,37.0,2142.63,21797.18,108.41,21305.46,67.55,11.64,3628.29,245.11,2699.57,37.01,0.766699603,8.797,0.55,3115.73
7379,71852,37.0,,,,,,,,,,,,,0.51,
